treatments	rank
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	2
MOCK	2
MOCK	2
MOCK	2
MOCK	3
WT	1
WT	1
WT	1
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	4
WT	4
WT	4
WT	4
WT	4
WT	4
WT	4
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	1
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	2
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	3
ΔAML1	4
ΔAML1	4
ΔAML1	4
ΔAML1	4
Comp.AML1	1
Comp.AML1	1
Comp.AML1	1
Comp.AML1	1
Comp.AML1	1
Comp.AML1	1
Comp.AML1	2
Comp.AML1	2
Comp.AML1	2
Comp.AML1	2
Comp.AML1	2
Comp.AML1	2
Comp.AML1	2
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	3
Comp.AML1	4
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	1
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	2
AML1.GFP	3
AML1.GFP	3
AML1.GFP	3
AML1.GFP	3
AML1.GFP	3
AML1.GFP	3
