treatments	rank
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	1
MOCK	2
MOCK	2
MOCK	2
MOCK	2
MOCK	3
WT	1
WT	1
WT	1
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	2
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	3
WT	4
WT	4
WT	4
WT	4
WT	4
WT	4
WT	4
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	1
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	2
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
ΔNML1	3
