Medium	Treatments	Values
SXM	WT	1
SXM	WT	1
SXM	WT	1
SXM	Vel1	16.199
SXM	Vel1	13.804
SXM	Vel1	10.176
SXM	Vel2	2.685
SXM	Vel2	5.285
SXM	Vel2	2.295
SXM	IDD	0.768
SXM	IDD	0.953
SXM	IDD	0.497
PDM	WT	1
PDM	WT	1
PDM	WT	1
PDM	Vel1	4.905
PDM	Vel1	3.271
PDM	Vel1	3.034
PDM	Vel2	2.040
PDM	Vel2	2.316
PDM	Vel2	1.291
PDM	IDD	1.016
PDM	IDD	1.201
PDM	IDD	0.858
PLATE	WT	1
PLATE	WT	1
PLATE	WT	1
PLATE	Vel1	14.973
PLATE	Vel1	27.053
PLATE	Vel1	14.966
PLATE	Vel2	5.960
PLATE	Vel2	5.427
PLATE	Vel2	6.691
PLATE	IDD	0.908
PLATE	IDD	0.726
PLATE	IDD	1.096
