Biological.Rep	Normalized
WT	1.022882962
WT	0.977117038
WT	1.024974481
WT	0.975025519
WT	0.938073729
WT	1.061926271
ΔLLM1	0.776951853
ΔLLM1	0.742165865
ΔLLM1	0.715833455
ΔLLM1	0.615070689
ΔLLM1	0.859203811
ΔLLM1	0.889962572
Comp.LLM1	0.920954185
Comp.LLM1	0.916484477
Comp.LLM1	0.933514801
Comp.LLM1	1.018441647
LLM1.GFP	0.99382986
LLM1.GFP	0.932517126
LLM1.GFP	1.035318135
LLM1.GFP	0.951616196
oeLLM1	0.924549385
oeLLM1	0.982752757
oeLLM1	0.896273624
oeLLM1	0.94991012
oeLLM1	1.056195056
oeLLM1	1.017047938
