Biological.Rep	variable	Normalized	Absolute
WT	a	0.8491	-35.741
WT	a	0.9739	-40.992
WT	a	0.7539	-31.733
WT	a	0.9697	-40.817
WT	a	0.9941	-41.844
WT	a	1.4592	-61.419
ΔLLM1	b	0.2884	-12.138
ΔLLM1	b	0.6388	-26.887
ΔLLM1	b	0.4295	-10.845
ΔLLM1	b	0.2577	-18.003
ΔLLM1	b	0.4277	-18.078
ΔLLM1	b	0.6234	-26.240
LLM1.NoGFP	c	0.9387	-19.068
LLM1.NoGFP	c	0.6397	-37.707
LLM1.NoGFP	c	1.2518	-36.489
LLM1.NoGFP	c	1.0365	-45.086
LLM1.NoGFP	c	0.8468	-65.741
LLM1.NoGFP	c	1.5551	-51.928
LLM1.GFP.C	d	0.4530	-39.509
LLM1.GFP.C	d	0.8958	-26.924
LLM1.GFP.C	d	1.5619	-43.625
LLM1.GFP.C	d	0.8669	-35.644
LLM1.GFP.C	d	1.0711	-52.690
LLM1.GFP.C	d	1.2337	-65.454
oeLLM1	e	0.6101	-25.681
oeLLM1	e	0.3085	-12.983
oeLLM1	e	0.6151	-23.055
oeLLM1	e	0.5477	-19.317
oeLLM1	e	0.4589	-25.890
oeLLM1	e	0.2519	-10.601
