Medium	Treatments	Values
PDM	WT	1.0
PDM	WT	1.0
PDM	WT	1.0
PDM	ΔVel2	5.213
PDM	ΔVel2	4.108
PDM	ΔVel2	3.207
PDM	ΔVel1	11.871
PDM	ΔVel1	8.556
PDM	ΔVel1	2.823
PDM	IDD	0.260
PDM	IDD	0.361
PDM	IDD	0.805
SXM	WT	1.0
SXM	WT	1.0
SXM	WT	1.0
SXM	ΔVel2	0.252
SXM	ΔVel2	0.636
SXM	ΔVel2	0.488
SXM	ΔVel1	0.772
SXM	ΔVel1	2.963
SXM	ΔVel1	2.586
SXM	IDD	0.882
SXM	IDD	0.585
SXM	IDD	0.137
PLATE	WT	1.0
PLATE	WT	1.0
PLATE	WT	1.0
PLATE	ΔVel2	0.585
PLATE	ΔVel2	0.453
PLATE	ΔVel2	0.429
PLATE	ΔVel1	0.437
PLATE	ΔVel1	0.493
PLATE	ΔVel1	0.620
PLATE	IDD	1.607
PLATE	IDD	0.591
PLATE	IDD	0.694
