Medium	Treatments	Values
PDM	WT	1.0
PDM	WT	1.0
PDM	WT	1.0
PDM	ΔVel2	2.440
PDM	ΔVel2	5.637
PDM	ΔVel2	2.234
PDM	ΔVel1	2.757
PDM	ΔVel1	3.765
PDM	ΔVel1	0.940
PDM	IDD	0.259
PDM	IDD	0.684
PDM	IDD	0.661
SXM	WT	1.0
SXM	WT	1.0
SXM	WT	1.0
SXM	ΔVel2	1.096
SXM	ΔVel2	2.111
SXM	ΔVel2	1.085
SXM	ΔVel1	1.707
SXM	ΔVel1	1.615
SXM	ΔVel1	2.062
SXM	IDD	0.871
SXM	IDD	0.735
SXM	IDD	0.962
PLATE	WT	1.0
PLATE	WT	1.0
PLATE	WT	1.0
PLATE	ΔVel2	1.302
PLATE	ΔVel2	1.138
PLATE	ΔVel2	0.892
PLATE	ΔVel1	3.072
PLATE	ΔVel1	2.083
PLATE	ΔVel1	1.987
PLATE	IDD	1.072
PLATE	IDD	0.546
PLATE	IDD	0.850
