,term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
1,Biological.Rep,LLM1-GFP,LLM1-C,0,0.031033333,-0.419585021,0.481651688,1,ns
2,Biological.Rep,LLM1-GFP,oeLLM1,0,-0.548366667,-0.998985021,-0.097748312,0.0116,*
3,Biological.Rep,LLM1-GFP,WT,0,-0.01375,-0.464368354,0.436868354,1,ns
4,Biological.Rep,LLM1-GFP,?LLM1,0,-0.569483333,-1.020101688,-0.118864979,0.00836,**
5,Biological.Rep,LLM1-C,oeLLM1,0,-0.5794,-1.030018354,-0.128781646,0.00715,**
6,Biological.Rep,LLM1-C,WT,0,-0.044783333,-0.495401688,0.405835021,0.998,ns
7,Biological.Rep,LLM1-C,?LLM1,0,-0.600516667,-1.051135021,-0.149898312,0.0051,**
8,Biological.Rep,oeLLM1,WT,0,0.534616667,0.083998312,0.985235021,0.0144,*
9,Biological.Rep,oeLLM1,?LLM1,0,-0.021116667,-0.471735021,0.429501688,1,ns
10,Biological.Rep,WT,?LLM1,0,-0.555733333,-1.006351688,-0.105114979,0.0104,*
